MainDrug,NDC,Strength,Formulation,Inactive
acetic acid,0338-0656,250 mg  in 100 mL, irrigant,WATER
acetic acid,0264-2304,0.25 g  in 100 mL, irrigant,WATER
acetic acid,0409-6143,250 mg  in 100 mL, irrigant,WATER
acetic acid,0990-6143,250 mg  in 100 mL, irrigant,WATER
acetic acid,50383-889,20.65 mg  in 1 mL, solution,PROPYLENE GLYCOL
acetic acid,50383-889,20.65 mg  in 1 mL, solution,BENZETHONIUM CHLORIDE
acetic acid,50383-889,20.65 mg  in 1 mL, solution,PROPYLENE GLYCOL DIACETATE
acetic acid,50383-889,20.65 mg  in 1 mL, solution,SODIUM ACETATE
acetic acid,60432-741,20 mg  in 1 mL, solution,PROPYLENE GLYCOL
acetic acid,60432-741,20 mg  in 1 mL, solution,PROPYLENE GLYCOL DIACETATE
acetic acid,60432-741,20 mg  in 1 mL, solution,BENZETHONIUM CHLORIDE
acetic acid,60432-741,20 mg  in 1 mL, solution,SODIUM ACETATE
acetic acid,60432-741,20 mg  in 1 mL, solution,ANHYDROUS CITRIC ACID
acetic acid,64980-424,20 mg  in 1 mL, solution,PROPYLENE GLYCOL DIACETATE
acetic acid,64980-424,20 mg  in 1 mL, solution,BENZETHONIUM CHLORIDE
acetic acid,64980-424,20 mg  in 1 mL, solution,SODIUM ACETATE
acetic acid,64980-424,20 mg  in 1 mL, solution,ANHYDROUS CITRIC ACID
acetic acid,64980-424,20 mg  in 1 mL, solution,PROPYLENE GLYCOL
acetic acid,52817-816,20.65 mg  in 1 mL, solution,PROPYLENE GLYCOL
acetic acid,52817-816,20.65 mg  in 1 mL, solution,BENZETHONIUM CHLORIDE
acetic acid,52817-816,20.65 mg  in 1 mL, solution,PROPYLENE GLYCOL DIACETATE
acetic acid,52817-816,20.65 mg  in 1 mL, solution,SODIUM ACETATE
acetic acid,52817-816,20.65 mg  in 1 mL, solution,ANHYDROUS CITRIC ACID
acetic acid,50383-901,20.75 mg  in 1 mL,hydrocortisone and  solution,HYDROCORTISONE
acetic acid,50383-901,10.375 mg  in 1 mL,hydrocortisone and  solution,ANHYDROUS CITRIC ACID
acetic acid,50383-901,10.375 mg  in 1 mL,hydrocortisone and  solution,BENZETHONIUM CHLORIDE
acetic acid,50383-901,10.375 mg  in 1 mL,hydrocortisone and  solution,PROPYLENE GLYCOL
acetic acid,50383-901,10.375 mg  in 1 mL,hydrocortisone and  solution,PROPYLENE GLYCOL DIACETATE
acetic acid,50383-901,10.375 mg  in 1 mL,hydrocortisone and  solution,SODIUM ACETATE
hydrocortisone,51672-3007,10.4 mg  in 1 mL, and acetic acid solution,Acetic Acid
hydrocortisone,51672-3007,20.8 mg  in 1 mL, and acetic acid solution,propylene glycol
hydrocortisone,51672-3007,20.8 mg  in 1 mL, and acetic acid solution,propylene glycol diacetate
hydrocortisone,51672-3007,20.8 mg  in 1 mL, and acetic acid solution,benzethonium chloride
hydrocortisone,51672-3007,20.8 mg  in 1 mL, and acetic acid solution,sodium acetate
hydrocortisone,51672-3007,20.8 mg  in 1 mL, and acetic acid solution,anhydrous citric acid
50383-889,50090-0351,20.65 mg  in 1 mL,acetic acid solution,ACETIC ACID
50383-889,50090-0351,20.65 mg  in 1 mL,acetic acid solution,PROPYLENE GLYCOL
50383-889,50090-0351,20.65 mg  in 1 mL,acetic acid solution,BENZETHONIUM CHLORIDE
50383-889,50090-0351,20.65 mg  in 1 mL,acetic acid solution,PROPYLENE GLYCOL DIACETATE
50383-889,50090-0351,20.65 mg  in 1 mL,acetic acid solution,SODIUM ACETATE
50383-889,55045-1243,20.65 mg  in 1 mL,acetic acid solution,ACETIC ACID
50383-889,55045-1243,20.65 mg  in 1 mL,acetic acid solution,PROPYLENE GLYCOL
50383-889,55045-1243,20.65 mg  in 1 mL,acetic acid solution,BENZETHONIUM CHLORIDE
50383-889,55045-1243,20.65 mg  in 1 mL,acetic acid solution,PROPYLENE GLYCOL DIACETATE
50383-889,55045-1243,20.65 mg  in 1 mL,acetic acid solution,SODIUM ACETATE
50383-889,55700-424,20.65 mg  in 1 mL,acetic acid solution,ACETIC ACID
50383-889,55700-424,20.65 mg  in 1 mL,acetic acid solution,PROPYLENE GLYCOL
50383-889,55700-424,20.65 mg  in 1 mL,acetic acid solution,BENZETHONIUM CHLORIDE
50383-889,55700-424,20.65 mg  in 1 mL,acetic acid solution,PROPYLENE GLYCOL DIACETATE
50383-889,55700-424,20.65 mg  in 1 mL,acetic acid solution,SODIUM ACETATE
50383-889,68071-1739,20.65 mg  in 1 mL,acetic acid solution,ACETIC ACID
50383-889,68071-1739,20.65 mg  in 1 mL,acetic acid solution,PROPYLENE GLYCOL
50383-889,68071-1739,20.65 mg  in 1 mL,acetic acid solution,BENZETHONIUM CHLORIDE
50383-889,68071-1739,20.65 mg  in 1 mL,acetic acid solution,PROPYLENE GLYCOL DIACETATE
50383-889,68071-1739,20.65 mg  in 1 mL,acetic acid solution,SODIUM ACETATE
50383-889,68788-7231,20.65 mg  in 1 mL,acetic acid solution,ACETIC ACID
50383-889,68788-7231,20.65 mg  in 1 mL,acetic acid solution,PROPYLENE GLYCOL
50383-889,68788-7231,20.65 mg  in 1 mL,acetic acid solution,BENZETHONIUM CHLORIDE
50383-889,68788-7231,20.65 mg  in 1 mL,acetic acid solution,PROPYLENE GLYCOL DIACETATE
50383-889,68788-7231,20.65 mg  in 1 mL,acetic acid solution,SODIUM ACETATE
50383-889,21695-222,20.65 mg  in 1 mL,acetic acid solution,ACETIC ACID
50383-889,21695-222,20.65 mg  in 1 mL,acetic acid solution,PROPYLENE GLYCOL
50383-889,21695-222,20.65 mg  in 1 mL,acetic acid solution,BENZETHONIUM CHLORIDE
50383-889,21695-222,20.65 mg  in 1 mL,acetic acid solution,PROPYLENE GLYCOL DIACETATE
50383-889,21695-222,20.65 mg  in 1 mL,acetic acid solution,SODIUM ACETATE
60432-741,50436-4600,20 mg  in 1 mL,acetic acid solution,ACETIC ACID
60432-741,50436-4600,20 mg  in 1 mL,acetic acid solution,PROPYLENE GLYCOL
60432-741,50436-4600,20 mg  in 1 mL,acetic acid solution,PROPYLENE GLYCOL DIACETATE
60432-741,50436-4600,20 mg  in 1 mL,acetic acid solution,BENZETHONIUM CHLORIDE
60432-741,50436-4600,20 mg  in 1 mL,acetic acid solution,SODIUM ACETATE
60432-741,50436-4600,20 mg  in 1 mL,acetic acid solution,ANHYDROUS CITRIC ACID
acetic acid,71919-006,30 [hp_C]  in 1 mL, liquid,ALCOHOL
acetic acid,71919-006,30 [hp_C]  in 1 mL, liquid,WATER
acetic acid,0220-0030,30 [hp_C]  in 30 [hp_C],	 pellet,SUCROSE
acetic acid,0220-0030,30 [hp_C]  in 30 [hp_C],	 pellet,"LACTOSE, UNSPECIFIED FORM"
acetic acid,68428-175,30 [hp_C], pellet,SUCROSE
acetic acid,68428-175,30 [hp_C], pellet,LACTOSE
acetic acid,62795-1019,6 [hp_X],", araneus diadematus, asafetida, bryonia alba whole, tribasic calcium phosphate, activated charcoal, cinchona officinalis bark, marsdenia condurango bark, tubocurarine chloride, kalmia latifolia leaf, lycopodium clavatum spore, sodium sulfate, phosphoric acid, pulsatilla vulgaris, claviceps purpurea sclerotium, and silicon dioxide tablet",STRYCHNINE NITRATE
acetic acid,62795-1019,6 [hp_X],", araneus diadematus, asafetida, bryonia alba whole, tribasic calcium phosphate, activated charcoal, cinchona officinalis bark, marsdenia condurango bark, tubocurarine chloride, kalmia latifolia leaf, lycopodium clavatum spore, sodium sulfate, phosphoric acid, pulsatilla vulgaris, claviceps purpurea sclerotium, and silicon dioxide tablet",ARANEUS DIADEMATUS
acetic acid,62795-1019,8 [hp_X],", araneus diadematus, asafetida, bryonia alba whole, tribasic calcium phosphate, activated charcoal, cinchona officinalis bark, marsdenia condurango bark, tubocurarine chloride, kalmia latifolia leaf, lycopodium clavatum spore, sodium sulfate, phosphoric acid, pulsatilla vulgaris, claviceps purpurea sclerotium, and silicon dioxide tablet",ASAFETIDA
acetic acid,62795-1019,6 [hp_X],", araneus diadematus, asafetida, bryonia alba whole, tribasic calcium phosphate, activated charcoal, cinchona officinalis bark, marsdenia condurango bark, tubocurarine chloride, kalmia latifolia leaf, lycopodium clavatum spore, sodium sulfate, phosphoric acid, pulsatilla vulgaris, claviceps purpurea sclerotium, and silicon dioxide tablet",BRYONIA ALBA WHOLE
acetic acid,62795-1019,30 [hp_X],", araneus diadematus, asafetida, bryonia alba whole, tribasic calcium phosphate, activated charcoal, cinchona officinalis bark, marsdenia condurango bark, tubocurarine chloride, kalmia latifolia leaf, lycopodium clavatum spore, sodium sulfate, phosphoric acid, pulsatilla vulgaris, claviceps purpurea sclerotium, and silicon dioxide tablet",TRIBASIC CALCIUM PHOSPHATE
acetic acid,62795-1019,10 [hp_X],", araneus diadematus, asafetida, bryonia alba whole, tribasic calcium phosphate, activated charcoal, cinchona officinalis bark, marsdenia condurango bark, tubocurarine chloride, kalmia latifolia leaf, lycopodium clavatum spore, sodium sulfate, phosphoric acid, pulsatilla vulgaris, claviceps purpurea sclerotium, and silicon dioxide tablet",ACTIVATED CHARCOAL
acetic acid,62795-1019,10 [hp_X],", araneus diadematus, asafetida, bryonia alba whole, tribasic calcium phosphate, activated charcoal, cinchona officinalis bark, marsdenia condurango bark, tubocurarine chloride, kalmia latifolia leaf, lycopodium clavatum spore, sodium sulfate, phosphoric acid, pulsatilla vulgaris, claviceps purpurea sclerotium, and silicon dioxide tablet",CINCHONA OFFICINALIS BARK
acetic acid,62795-1019,4 [hp_X],", araneus diadematus, asafetida, bryonia alba whole, tribasic calcium phosphate, activated charcoal, cinchona officinalis bark, marsdenia condurango bark, tubocurarine chloride, kalmia latifolia leaf, lycopodium clavatum spore, sodium sulfate, phosphoric acid, pulsatilla vulgaris, claviceps purpurea sclerotium, and silicon dioxide tablet",MARSDENIA CONDURANGO BARK
acetic acid,62795-1019,4 [hp_X],", araneus diadematus, asafetida, bryonia alba whole, tribasic calcium phosphate, activated charcoal, cinchona officinalis bark, marsdenia condurango bark, tubocurarine chloride, kalmia latifolia leaf, lycopodium clavatum spore, sodium sulfate, phosphoric acid, pulsatilla vulgaris, claviceps purpurea sclerotium, and silicon dioxide tablet",TUBOCURARINE CHLORIDE
acetic acid,62795-1019,10 [hp_X],", araneus diadematus, asafetida, bryonia alba whole, tribasic calcium phosphate, activated charcoal, cinchona officinalis bark, marsdenia condurango bark, tubocurarine chloride, kalmia latifolia leaf, lycopodium clavatum spore, sodium sulfate, phosphoric acid, pulsatilla vulgaris, claviceps purpurea sclerotium, and silicon dioxide tablet",KALMIA LATIFOLIA LEAF
acetic acid,62795-1019,8 [hp_X],", araneus diadematus, asafetida, bryonia alba whole, tribasic calcium phosphate, activated charcoal, cinchona officinalis bark, marsdenia condurango bark, tubocurarine chloride, kalmia latifolia leaf, lycopodium clavatum spore, sodium sulfate, phosphoric acid, pulsatilla vulgaris, claviceps purpurea sclerotium, and silicon dioxide tablet",LYCOPODIUM CLAVATUM SPORE
acetic acid,62795-1019,6 [hp_X],", araneus diadematus, asafetida, bryonia alba whole, tribasic calcium phosphate, activated charcoal, cinchona officinalis bark, marsdenia condurango bark, tubocurarine chloride, kalmia latifolia leaf, lycopodium clavatum spore, sodium sulfate, phosphoric acid, pulsatilla vulgaris, claviceps purpurea sclerotium, and silicon dioxide tablet",SODIUM SULFATE
acetic acid,62795-1019,6 [hp_X],", araneus diadematus, asafetida, bryonia alba whole, tribasic calcium phosphate, activated charcoal, cinchona officinalis bark, marsdenia condurango bark, tubocurarine chloride, kalmia latifolia leaf, lycopodium clavatum spore, sodium sulfate, phosphoric acid, pulsatilla vulgaris, claviceps purpurea sclerotium, and silicon dioxide tablet",PHOSPHORIC ACID
acetic acid,62795-1019,6 [hp_X],", araneus diadematus, asafetida, bryonia alba whole, tribasic calcium phosphate, activated charcoal, cinchona officinalis bark, marsdenia condurango bark, tubocurarine chloride, kalmia latifolia leaf, lycopodium clavatum spore, sodium sulfate, phosphoric acid, pulsatilla vulgaris, claviceps purpurea sclerotium, and silicon dioxide tablet",PULSATILLA VULGARIS
acetic acid,62795-1019,4 [hp_X],", araneus diadematus, asafetida, bryonia alba whole, tribasic calcium phosphate, activated charcoal, cinchona officinalis bark, marsdenia condurango bark, tubocurarine chloride, kalmia latifolia leaf, lycopodium clavatum spore, sodium sulfate, phosphoric acid, pulsatilla vulgaris, claviceps purpurea sclerotium, and silicon dioxide tablet",CLAVICEPS PURPUREA SCLEROTIUM
acetic acid,62795-1019,6 [hp_X],", araneus diadematus, asafetida, bryonia alba whole, tribasic calcium phosphate, activated charcoal, cinchona officinalis bark, marsdenia condurango bark, tubocurarine chloride, kalmia latifolia leaf, lycopodium clavatum spore, sodium sulfate, phosphoric acid, pulsatilla vulgaris, claviceps purpurea sclerotium, and silicon dioxide tablet",SILICON DIOXIDE
acetic acid,62795-1019,8 [hp_X],", araneus diadematus, asafetida, bryonia alba whole, tribasic calcium phosphate, activated charcoal, cinchona officinalis bark, marsdenia condurango bark, tubocurarine chloride, kalmia latifolia leaf, lycopodium clavatum spore, sodium sulfate, phosphoric acid, pulsatilla vulgaris, claviceps purpurea sclerotium, and silicon dioxide tablet",LACTOSE
acetic acid,62795-1019,8 [hp_X],", araneus diadematus, asafetida, bryonia alba whole, tribasic calcium phosphate, activated charcoal, cinchona officinalis bark, marsdenia condurango bark, tubocurarine chloride, kalmia latifolia leaf, lycopodium clavatum spore, sodium sulfate, phosphoric acid, pulsatilla vulgaris, claviceps purpurea sclerotium, and silicon dioxide tablet",MAGNESIUM STEARATE
acetic acid,62795-1019,8 [hp_X],", araneus diadematus, asafetida, bryonia alba whole, tribasic calcium phosphate, activated charcoal, cinchona officinalis bark, marsdenia condurango bark, tubocurarine chloride, kalmia latifolia leaf, lycopodium clavatum spore, sodium sulfate, phosphoric acid, pulsatilla vulgaris, claviceps purpurea sclerotium, and silicon dioxide tablet",MALTODEXTRIN
acetic acid,62795-1019,8 [hp_X],", araneus diadematus, asafetida, bryonia alba whole, tribasic calcium phosphate, activated charcoal, cinchona officinalis bark, marsdenia condurango bark, tubocurarine chloride, kalmia latifolia leaf, lycopodium clavatum spore, sodium sulfate, phosphoric acid, pulsatilla vulgaris, claviceps purpurea sclerotium, and silicon dioxide tablet",DEXTROSE
acetic acid,64117-202,30 [hp_C]  in 1 mL, pellet,LACTOSE
acetic acid,64117-202,30 [hp_C]  in 1 mL, pellet,SUCROSE
acetic acid,0813-0799,0.009 g  in 1 g, and oxyquinoline sulfate jelly,OXYQUINOLINE SULFATE
acetic acid,0813-0799,0.00025 g  in 1 g, and oxyquinoline sulfate jelly,GLYCERIN
acetic acid,0813-0799,0.00025 g  in 1 g, and oxyquinoline sulfate jelly,LACTIC ACID
acetic acid,0813-0799,0.00025 g  in 1 g, and oxyquinoline sulfate jelly,POLYETHYLENE GLYCOL 4500
acetic acid,0813-0799,0.00025 g  in 1 g, and oxyquinoline sulfate jelly,WATER
acetic acid,0813-0799,0.00025 g  in 1 g, and oxyquinoline sulfate jelly,POTASSIUM HYDROXIDE
chlorhexidine gluconate,17033-132,20 mg  in 1 mL,", acetic acid, and ketoconazole solution",KETOCONAZOLE
chlorhexidine gluconate,17033-132,20 mg  in 1 mL,", acetic acid, and ketoconazole solution",ACETIC ACID
chlorhexidine gluconate,17033-132,10 mg  in 1 mL,", acetic acid, and ketoconazole solution",LAURAMINE OXIDE
chlorhexidine gluconate,17033-132,10 mg  in 1 mL,", acetic acid, and ketoconazole solution",COCAMIDOPROPYL BETAINE
chlorhexidine gluconate,17033-132,10 mg  in 1 mL,", acetic acid, and ketoconazole solution",DECYL GLUCOSIDE
chlorhexidine gluconate,17033-132,10 mg  in 1 mL,", acetic acid, and ketoconazole solution",EDETATE SODIUM
peracetic acid,76638-020,0.15 g  in 60 mL,peroxy acetic acid spray,Water
peracetic acid,76638-020,0.15 g  in 60 mL,peroxy acetic acid spray,LEMON OIL
peracetic acid,76638-030,0.15 g  in 60 mL,peroxy acetic acid spray,Water
peracetic acid,76638-030,0.15 g  in 60 mL,peroxy acetic acid spray,LAVENDER OIL
peracetic acid,76638-030,0.15 g  in 60 mL,peroxy acetic acid spray,PEPPERMINT OIL
peracetic acid,76638-030,0.15 g  in 60 mL,peroxy acetic acid spray,CITRONELLA OIL
peracetic acid,76638-010,0.15 g  in 60 mL,peroxy acetic acid spray,Water
acetic acid,51674-0130,0.9 mg  in 1 mL,"glacial , oxyquinoline gel",OXYQUINOLINE
acetic acid,51674-0130,0.025 mg  in 1 mL,"glacial , oxyquinoline gel",GLYCERIN
acetic acid,51674-0130,0.025 mg  in 1 mL,"glacial , oxyquinoline gel",LACTIC ACID
acetic acid,51674-0130,0.025 mg  in 1 mL,"glacial , oxyquinoline gel",POLYETHYLENE GLYCOL 4500
acetic acid,51674-0130,0.025 mg  in 1 mL,"glacial , oxyquinoline gel",WATER
acetic acid,51674-0130,0.025 mg  in 1 mL,"glacial , oxyquinoline gel",POTASSIUM HYDROXIDE
peracetic acid,74438-020,0.26 g  in 100 mL,peroxy acetic acid spray,Water
peracetic acid,74438-020,0.26 g  in 100 mL,peroxy acetic acid spray,LEMON OIL
peracetic acid,74438-050,0.26 g  in 100 mL,peroxy acetic acid spray,Water
peracetic acid,74438-050,0.26 g  in 100 mL,peroxy acetic acid spray,LEMON OIL
peracetic acid,74438-060,0.26 g  in 100 mL,peroxy acetic acid spray,Water
peracetic acid,74438-060,0.26 g  in 100 mL,peroxy acetic acid spray,LAVENDER OIL
peracetic acid,74438-060,0.26 g  in 100 mL,peroxy acetic acid spray,PEPPERMINT OIL
peracetic acid,74438-060,0.26 g  in 100 mL,peroxy acetic acid spray,CITRONELLA OIL
peracetic acid,74438-030,0.26 g  in 100 mL,peroxy acetic acid spray,Water
peracetic acid,74438-030,0.26 g  in 100 mL,peroxy acetic acid spray,LAVENDER OIL
peracetic acid,74438-030,0.26 g  in 100 mL,peroxy acetic acid spray,PEPPERMINT OIL
peracetic acid,74438-030,0.26 g  in 100 mL,peroxy acetic acid spray,CITRONELLA OIL
peracetic acid,74438-010,0.26 g  in 100 mL,peroxy acetic acid spray,Water
peracetic acid,74438-040,0.26 g  in 100 mL,peroxy acetic acid spray,Water
peracetic acid,74438-070,0.26 g  in 100 mL,peroxy acetic acid liquid,Water
calcium sulfate anhydrous,63479-0101,12 [hp_X]  in 1 mL,"aceticum acidum, arnica montana, avena sativa, calcarea carbonica, calcarea phosphorica, calcarea sulphurica, ceanothus americanus, ceratostigma illmottianum, chininum arsenicosum, citricum acidum, english elm, european hornbeam, european olive, gentianella amarella, hydrofluoricum acidum, juglans regia, lacticum acidum, magnesia phosphorica, natrum muriaticum, natrum phosphoricum, natrum silicofluoricum, natrum sulphuricum, passiflora incarnata, phosphoricum acidum, sarcolacticum acidum, solidago virgaurea solution/ drops","LACTIC ACID, DL-"
calcium sulfate anhydrous,63479-0101,12 [hp_X]  in 1 mL,"aceticum acidum, arnica montana, avena sativa, calcarea carbonica, calcarea phosphorica, calcarea sulphurica, ceanothus americanus, ceratostigma illmottianum, chininum arsenicosum, citricum acidum, english elm, european hornbeam, european olive, gentianella amarella, hydrofluoricum acidum, juglans regia, lacticum acidum, magnesia phosphorica, natrum muriaticum, natrum phosphoricum, natrum silicofluoricum, natrum sulphuricum, passiflora incarnata, phosphoricum acidum, sarcolacticum acidum, solidago virgaurea solution/ drops",CERATOSTIGMA WILLMOTTIANUM FLOWER
calcium sulfate anhydrous,63479-0101,12 [hp_X]  in 1 mL,"aceticum acidum, arnica montana, avena sativa, calcarea carbonica, calcarea phosphorica, calcarea sulphurica, ceanothus americanus, ceratostigma illmottianum, chininum arsenicosum, citricum acidum, english elm, european hornbeam, european olive, gentianella amarella, hydrofluoricum acidum, juglans regia, lacticum acidum, magnesia phosphorica, natrum muriaticum, natrum phosphoricum, natrum silicofluoricum, natrum sulphuricum, passiflora incarnata, phosphoricum acidum, sarcolacticum acidum, solidago virgaurea solution/ drops","LACTIC ACID, L-"
calcium sulfate anhydrous,63479-0101,15 [hp_X]  in 1 mL,"aceticum acidum, arnica montana, avena sativa, calcarea carbonica, calcarea phosphorica, calcarea sulphurica, ceanothus americanus, ceratostigma illmottianum, chininum arsenicosum, citricum acidum, english elm, european hornbeam, european olive, gentianella amarella, hydrofluoricum acidum, juglans regia, lacticum acidum, magnesia phosphorica, natrum muriaticum, natrum phosphoricum, natrum silicofluoricum, natrum sulphuricum, passiflora incarnata, phosphoricum acidum, sarcolacticum acidum, solidago virgaurea solution/ drops",ARNICA MONTANA
calcium sulfate anhydrous,63479-0101,12 [hp_C]  in 1 mL,"aceticum acidum, arnica montana, avena sativa, calcarea carbonica, calcarea phosphorica, calcarea sulphurica, ceanothus americanus, ceratostigma illmottianum, chininum arsenicosum, citricum acidum, english elm, european hornbeam, european olive, gentianella amarella, hydrofluoricum acidum, juglans regia, lacticum acidum, magnesia phosphorica, natrum muriaticum, natrum phosphoricum, natrum silicofluoricum, natrum sulphuricum, passiflora incarnata, phosphoricum acidum, sarcolacticum acidum, solidago virgaurea solution/ drops","OYSTER SHELL CALCIUM CARBONATE, CRUDE"
calcium sulfate anhydrous,63479-0101,15 [hp_X]  in 1 mL,"aceticum acidum, arnica montana, avena sativa, calcarea carbonica, calcarea phosphorica, calcarea sulphurica, ceanothus americanus, ceratostigma illmottianum, chininum arsenicosum, citricum acidum, english elm, european hornbeam, european olive, gentianella amarella, hydrofluoricum acidum, juglans regia, lacticum acidum, magnesia phosphorica, natrum muriaticum, natrum phosphoricum, natrum silicofluoricum, natrum sulphuricum, passiflora incarnata, phosphoricum acidum, sarcolacticum acidum, solidago virgaurea solution/ drops",ANHYDROUS CITRIC ACID
calcium sulfate anhydrous,63479-0101,30 [hp_X]  in 1 mL,"aceticum acidum, arnica montana, avena sativa, calcarea carbonica, calcarea phosphorica, calcarea sulphurica, ceanothus americanus, ceratostigma illmottianum, chininum arsenicosum, citricum acidum, english elm, european hornbeam, european olive, gentianella amarella, hydrofluoricum acidum, juglans regia, lacticum acidum, magnesia phosphorica, natrum muriaticum, natrum phosphoricum, natrum silicofluoricum, natrum sulphuricum, passiflora incarnata, phosphoricum acidum, sarcolacticum acidum, solidago virgaurea solution/ drops",OLEA EUROPAEA FLOWER
calcium sulfate anhydrous,63479-0101,12 [hp_X]  in 1 mL,"aceticum acidum, arnica montana, avena sativa, calcarea carbonica, calcarea phosphorica, calcarea sulphurica, ceanothus americanus, ceratostigma illmottianum, chininum arsenicosum, citricum acidum, english elm, european hornbeam, european olive, gentianella amarella, hydrofluoricum acidum, juglans regia, lacticum acidum, magnesia phosphorica, natrum muriaticum, natrum phosphoricum, natrum silicofluoricum, natrum sulphuricum, passiflora incarnata, phosphoricum acidum, sarcolacticum acidum, solidago virgaurea solution/ drops",GENTIANELLA AMARELLA FLOWER
calcium sulfate anhydrous,63479-0101,12 [hp_X]  in 1 mL,"aceticum acidum, arnica montana, avena sativa, calcarea carbonica, calcarea phosphorica, calcarea sulphurica, ceanothus americanus, ceratostigma illmottianum, chininum arsenicosum, citricum acidum, english elm, european hornbeam, european olive, gentianella amarella, hydrofluoricum acidum, juglans regia, lacticum acidum, magnesia phosphorica, natrum muriaticum, natrum phosphoricum, natrum silicofluoricum, natrum sulphuricum, passiflora incarnata, phosphoricum acidum, sarcolacticum acidum, solidago virgaurea solution/ drops",ULMUS PROCERA FLOWERING TWIG
calcium sulfate anhydrous,63479-0101,12 [hp_X]  in 1 mL,"aceticum acidum, arnica montana, avena sativa, calcarea carbonica, calcarea phosphorica, calcarea sulphurica, ceanothus americanus, ceratostigma illmottianum, chininum arsenicosum, citricum acidum, english elm, european hornbeam, european olive, gentianella amarella, hydrofluoricum acidum, juglans regia, lacticum acidum, magnesia phosphorica, natrum muriaticum, natrum phosphoricum, natrum silicofluoricum, natrum sulphuricum, passiflora incarnata, phosphoricum acidum, sarcolacticum acidum, solidago virgaurea solution/ drops","SODIUM PHOSPHATE, DIBASIC, HEPTAHYDRATE"
calcium sulfate anhydrous,63479-0101,12 [hp_X]  in 1 mL,"aceticum acidum, arnica montana, avena sativa, calcarea carbonica, calcarea phosphorica, calcarea sulphurica, ceanothus americanus, ceratostigma illmottianum, chininum arsenicosum, citricum acidum, english elm, european hornbeam, european olive, gentianella amarella, hydrofluoricum acidum, juglans regia, lacticum acidum, magnesia phosphorica, natrum muriaticum, natrum phosphoricum, natrum silicofluoricum, natrum sulphuricum, passiflora incarnata, phosphoricum acidum, sarcolacticum acidum, solidago virgaurea solution/ drops",PHOSPHORIC ACID
calcium sulfate anhydrous,63479-0101,30 [hp_X]  in 1 mL,"aceticum acidum, arnica montana, avena sativa, calcarea carbonica, calcarea phosphorica, calcarea sulphurica, ceanothus americanus, ceratostigma illmottianum, chininum arsenicosum, citricum acidum, english elm, european hornbeam, european olive, gentianella amarella, hydrofluoricum acidum, juglans regia, lacticum acidum, magnesia phosphorica, natrum muriaticum, natrum phosphoricum, natrum silicofluoricum, natrum sulphuricum, passiflora incarnata, phosphoricum acidum, sarcolacticum acidum, solidago virgaurea solution/ drops",CARPINUS BETULUS FLOWER
calcium sulfate anhydrous,63479-0101,9 [hp_X]  in 1 mL,"aceticum acidum, arnica montana, avena sativa, calcarea carbonica, calcarea phosphorica, calcarea sulphurica, ceanothus americanus, ceratostigma illmottianum, chininum arsenicosum, citricum acidum, english elm, european hornbeam, european olive, gentianella amarella, hydrofluoricum acidum, juglans regia, lacticum acidum, magnesia phosphorica, natrum muriaticum, natrum phosphoricum, natrum silicofluoricum, natrum sulphuricum, passiflora incarnata, phosphoricum acidum, sarcolacticum acidum, solidago virgaurea solution/ drops",SOLIDAGO VIRGAUREA FLOWERING TOP
calcium sulfate anhydrous,63479-0101,1 [hp_X]  in 1 mL,"aceticum acidum, arnica montana, avena sativa, calcarea carbonica, calcarea phosphorica, calcarea sulphurica, ceanothus americanus, ceratostigma illmottianum, chininum arsenicosum, citricum acidum, english elm, european hornbeam, european olive, gentianella amarella, hydrofluoricum acidum, juglans regia, lacticum acidum, magnesia phosphorica, natrum muriaticum, natrum phosphoricum, natrum silicofluoricum, natrum sulphuricum, passiflora incarnata, phosphoricum acidum, sarcolacticum acidum, solidago virgaurea solution/ drops",ACETIC ACID
calcium sulfate anhydrous,63479-0101,30 [hp_X]  in 1 mL,"aceticum acidum, arnica montana, avena sativa, calcarea carbonica, calcarea phosphorica, calcarea sulphurica, ceanothus americanus, ceratostigma illmottianum, chininum arsenicosum, citricum acidum, english elm, european hornbeam, european olive, gentianella amarella, hydrofluoricum acidum, juglans regia, lacticum acidum, magnesia phosphorica, natrum muriaticum, natrum phosphoricum, natrum silicofluoricum, natrum sulphuricum, passiflora incarnata, phosphoricum acidum, sarcolacticum acidum, solidago virgaurea solution/ drops",AVENA SATIVA FLOWERING TOP
calcium sulfate anhydrous,63479-0101,1 [hp_X]  in 1 mL,"aceticum acidum, arnica montana, avena sativa, calcarea carbonica, calcarea phosphorica, calcarea sulphurica, ceanothus americanus, ceratostigma illmottianum, chininum arsenicosum, citricum acidum, english elm, european hornbeam, european olive, gentianella amarella, hydrofluoricum acidum, juglans regia, lacticum acidum, magnesia phosphorica, natrum muriaticum, natrum phosphoricum, natrum silicofluoricum, natrum sulphuricum, passiflora incarnata, phosphoricum acidum, sarcolacticum acidum, solidago virgaurea solution/ drops",SODIUM CHLORIDE
